n_depots,n_customers,n_charging,charging_repeats,n_vehicles,shrinkage_depots,shrinkage_charging,T,T_step,B,B_step,seed,μ,batch,time_limit,arc_ip_objective,arc_ip_time_taken,arc_ip_solution_time_taken,arc_ip_constraint_time_taken,arc_lp_objective,arc_lp_time_taken,arc_lp_solution_time_taken,arc_lp_constraint_time_taken,arc_ip_time_limit_reached,arc_ip_has_solution,arc_ip_has_optimal_solution
2,18,2,1,3,1.4,0.6,2550.0,50.0,2050.0,50.0,11,5.0,6,3600.0,,3600.15,3600.131,0.018,4300.999999999997,0.057,0.036,0.021,true,false,false
2,18,2,1,3,1.4,0.6,2550.0,50.0,2050.0,50.0,12,5.0,6,3600.0,4855.0,451.201,451.181,0.02,4384.0,0.078,0.036,0.042,false,true,true
2,18,2,1,3,1.4,0.6,2550.0,50.0,2050.0,50.0,13,5.0,6,3600.0,4858.0,3600.327,3600.311,0.016,3710.0000000000005,0.065,0.042,0.023,true,true,false
2,18,2,1,3,1.4,0.6,2550.0,50.0,2050.0,50.0,14,5.0,6,3600.0,,3600.133,3600.117,0.017,5553.999999999999,0.086,0.062,0.024,true,false,false
2,18,2,1,3,1.4,0.6,2550.0,50.0,2050.0,50.0,15,5.0,6,3600.0,5236.0,2136.502,2136.485,0.017,4905.0,0.086,0.039,0.048,false,true,true
2,18,2,1,3,1.4,0.6,2550.0,50.0,2050.0,50.0,16,5.0,6,3600.0,,3600.196,3600.146,0.05,5597.999999999999,0.144,0.096,0.048,true,false,false
2,18,2,1,3,1.4,0.6,2550.0,50.0,2050.0,50.0,17,5.0,6,3600.0,4506.0,1778.077,1778.06,0.017,4062.0,0.097,0.042,0.055,false,true,true
2,18,2,1,3,1.4,0.6,2550.0,50.0,2050.0,50.0,18,5.0,6,3600.0,4493.0,355.203,355.186,0.017,4323.000000000001,0.062,0.042,0.02,false,true,true
2,18,2,1,3,1.4,0.6,2550.0,50.0,2050.0,50.0,19,5.0,6,3600.0,4078.0,3600.17,3600.153,0.017,3591.9999999999995,0.07,0.048,0.022,true,true,false
2,18,2,1,3,1.4,0.6,2550.0,50.0,2050.0,50.0,20,5.0,6,3600.0,5611.0,3600.318,3600.299,0.019,4412.000000000002,0.063,0.042,0.021,true,true,false
