seed,n_customers,ngroute_neighborhood_size,ngroute_neighborhood_depots_size,ngroute_neighborhood_charging_size,method,ngroute_alt,time_taken_first,time_taken_total,n_iterations,n_CG_iterations,sp_time_taken_mean_first,sp_time_taken_mean_last,LP_objective_first,LP_objective_last,IP_objective_first,IP_objective_last,LP_IP_gap_first,LP_IP_gap_last
17,20,5,small,medium,ours,true,1.831,1.882041833,1,12,0.14358333333333334,0.14358333333333334,990670.0,990670.0,991830.0,991830.0,0.11695552665275111,0.11695552665275111
17,20,5,small,medium,ours,false,6.533,6.570055,1,10,0.6482,0.6482,990670.0,990670.0,991830.0,991830.0,0.11695552665275111,0.11695552665275111
18,20,5,small,medium,ours,true,1.518,1.55837025,1,11,0.133,0.133,746703.5,746703.5,759057.0,759057.0,1.6274798862272566,1.6274798862272566
18,20,5,small,medium,ours,false,10.446,10.471760708,1,15,0.692,0.692,746703.5,746703.5,759057.0,759057.0,1.6274798862272566,1.6274798862272566
19,20,5,small,medium,ours,true,3.03,3.069294834,1,14,0.2125,0.2125,941693.0,941693.0,956456.0,956456.0,1.543510626730349,1.543510626730349
19,20,5,small,medium,ours,false,14.45,14.474650625,1,17,0.8467058823529411,0.8467058823529411,941693.0,941693.0,953862.0,953862.0,1.2757610639694161,1.2757610639694161
20,20,5,small,medium,ours,true,2.031,2.060576,1,17,0.11529411764705882,0.11529411764705882,663418.0,663418.0,663418.0,663418.0,0.0,0.0
20,20,5,small,medium,ours,false,8.24,8.259345625,1,11,0.7424545454545455,0.7424545454545455,663418.0,663418.0,663418.0,663418.0,0.0,0.0
1,20,5,small,medium,benchmark,true,4.101,5.203832959,2,15,0.33241666666666664,0.33666666666666667,742624.0,745640.0,745640.0,745640.0,0.4044847379432448,0.0
1,20,5,small,medium,benchmark,false,6.258,7.753134167,2,15,0.512,0.47233333333333327,742624.0,745640.0,745640.0,745640.0,0.4044847379432448,0.0
2,20,5,small,medium,benchmark,true,1.479,1.503120458,1,10,0.14299999999999996,0.14299999999999996,1.001764e6,1.001764e6,1.001764e6,1.001764e6,0.0,0.0
2,20,5,small,medium,benchmark,false,3.023,3.047044833,1,10,0.2957,0.2957,1.001764e6,1.001764e6,1.001764e6,1.001764e6,0.0,0.0
3,20,5,small,medium,benchmark,true,8.6,9.768759667,2,18,0.5653333333333335,0.35133333333333333,749000.75,749158.0,760385.0,760385.0,1.4971691971830015,1.4764888839206458
3,20,5,small,medium,benchmark,false,12.818,14.761134834,2,18,0.8407333333333333,0.6069999999999999,749000.75,749158.0,760385.0,760385.0,1.4971691971830015,1.4764888839206458
4,20,5,small,medium,benchmark,true,6.006,6.05235575,1,15,0.3903999999999999,0.3903999999999999,572250.0,572250.0,594314.0,594314.0,3.7125156062283615,3.7125156062283615
4,20,5,small,medium,benchmark,false,9.965,10.007707541,1,15,0.6547333333333332,0.6547333333333332,572250.0,572250.0,594314.0,594314.0,3.7125156062283615,3.7125156062283615
5,20,5,small,medium,benchmark,true,10.117,10.156058958,1,17,0.5892941176470587,0.5892941176470587,662756.0,662756.0,666402.0,666402.0,0.5471172055306006,0.5471172055306006
5,20,5,small,medium,benchmark,false,14.613,14.660350917,1,17,0.8544705882352941,0.8544705882352941,662756.0,662756.0,666402.0,666402.0,0.5471172055306006,0.5471172055306006
6,20,5,small,medium,benchmark,true,2.755,2.798186125,1,10,0.2652,0.2652,773590.0,773590.0,803545.0,803545.0,3.7278559383730814,3.7278559383730814
6,20,5,small,medium,benchmark,false,4.487,4.528043792,1,10,0.4396,0.4396,773590.0,773590.0,803545.0,803545.0,3.7278559383730814,3.7278559383730814
7,20,5,small,medium,benchmark,true,3.017,3.048100375,1,12,0.2416666666666666,0.2416666666666666,772846.5714285715,772846.5714285715,776074.0,776074.0,0.4158660864078012,0.4158660864078012
7,20,5,small,medium,benchmark,false,5.514,5.544624,1,12,0.44983333333333325,0.44983333333333325,772846.5714285715,772846.5714285715,776074.0,776074.0,0.4158660864078012,0.4158660864078012
8,20,5,small,medium,benchmark,true,9.793,9.823329542,1,14,0.6896428571428571,0.6896428571428571,697720.0,697720.0,697720.0,697720.0,0.0,0.0
8,20,5,small,medium,benchmark,false,15.557,15.588155333,1,14,1.1012857142857144,1.1012857142857144,697720.0,697720.0,697720.0,697720.0,0.0,0.0
9,20,5,small,medium,benchmark,true,2.713,2.746166166,1,10,0.2567,0.2567,687293.0,687293.0,687293.0,687293.0,0.0,0.0
9,20,5,small,medium,benchmark,false,5.797,5.830466125,1,10,0.5660000000000001,0.5660000000000001,687293.0,687293.0,687293.0,687293.0,0.0,0.0
10,20,5,small,medium,benchmark,true,18.355,18.394179709,1,12,1.5143333333333333,1.5143333333333333,804050.0,804050.0,804050.0,804050.0,0.0,0.0
10,20,5,small,medium,benchmark,false,23.849,23.890307792,1,12,1.9706666666666666,1.9706666666666666,804050.0,804050.0,804050.0,804050.0,0.0,0.0
11,20,5,small,medium,benchmark,true,8.701,8.747202292,1,15,0.5691333333333334,0.5691333333333334,689148.0,689148.0,689148.0,689148.0,0.0,0.0
11,20,5,small,medium,benchmark,false,12.582,12.628639834,1,15,0.8264,0.8264,689148.0,689148.0,689148.0,689148.0,0.0,0.0
12,20,5,small,medium,benchmark,true,5.823,7.018363542,2,15,0.43507692307692314,0.529,650921.0000000001,651090.3333333334,670856.0,670856.0,2.9715766125666176,2.9463352294183287
12,20,5,small,medium,benchmark,false,14.067,15.493028209,2,15,1.0729230769230769,0.6445000000000001,650921.0000000001,651090.3333333334,670856.0,670856.0,2.9715766125666176,2.9463352294183287
13,20,5,small,medium,benchmark,true,2.238,2.899033417,2,14,0.19590909090909092,0.18800000000000003,787478.0,787478.0,792148.0,792148.0,0.5895362987724528,0.5895362987724528
13,20,5,small,medium,benchmark,false,3.823,4.826453416,2,14,0.3399090909090909,0.3076666666666667,787478.0,787478.0,792148.0,792148.0,0.5895362987724528,0.5895362987724528
14,20,5,small,medium,benchmark,true,1.645,1.901489792,2,13,0.1439090909090909,0.092,945287.5,949760.0,951740.0,951740.0,0.6779687729842165,0.20804001092735724
