seed,n_customers,ngroute_neighborhood_size,ngroute_neighborhood_depots_size,ngroute_neighborhood_charging_size,method,ngroute_alt,time_taken_first,time_taken_total,n_iterations,n_CG_iterations,sp_time_taken_mean_first,sp_time_taken_mean_last,LP_objective_first,LP_objective_last,IP_objective_first,IP_objective_last,LP_IP_gap_first,LP_IP_gap_last
15,16,4,small,small,benchmark,false,10.974,15.561151125,2,17,0.9842727272727274,0.7281666666666666,685822.6923076924,748454.0,779070.0,748454.0,11.969053832429388,0.0
16,16,4,small,small,benchmark,true,11.448,15.692125208,2,22,0.8072142857142858,0.503,819143.75,840765.0,855100.0,844934.0,4.2049175535025185,0.4934113197007095
16,16,4,small,small,benchmark,false,12.743,18.136789917,2,22,0.8994285714285714,0.6487499999999999,819143.75,840765.0,855100.0,844934.0,4.2049175535025185,0.4934113197007095
17,16,4,small,small,benchmark,true,9.002,16.023587917,3,24,0.6860769230769231,0.49416666666666664,735836.6666666666,799980.0,820480.0,801710.0,10.316318902756116,0.21578875154357746
17,16,4,small,small,benchmark,false,12.176,24.525104458,3,24,0.9286153846153845,0.9418333333333333,735836.6666666666,799980.0,820480.0,801710.0,10.316318902756116,0.21578875154357746
18,16,4,small,small,benchmark,true,13.06,18.099671792,3,19,1.292,0.5254,611795.0,663967.0,692677.0,677437.0,11.676726670583836,1.9883767789477091
18,16,4,small,small,benchmark,false,17.226,25.554947167,3,19,1.709,0.9501999999999999,611795.0,663967.0,692677.0,677437.0,11.676726670583836,1.9883767789477091
19,16,4,small,small,benchmark,true,10.656,14.211181791,2,17,0.8748333333333332,0.663,689036.0,692192.0,732269.0,692192.0,5.903977909757208,0.0
19,16,4,small,small,benchmark,false,13.088,18.268375791,2,17,1.0786666666666667,0.9882,689036.0,692192.0,732269.0,692192.0,5.903977909757208,0.0
20,16,4,small,small,benchmark,true,6.602,11.86110175,3,21,0.7225555555555555,0.453,609971.6666666666,636720.0,683832.0,636720.0,10.80094721120588,0.0
20,16,4,small,small,benchmark,false,9.095,16.819105375,3,21,1.0006666666666666,0.6547499999999999,609971.6666666666,636720.0,683832.0,636720.0,10.80094721120588,0.0
1,16,4,small,medium,ours,true,5.412,9.327787834,3,23,0.3837142857142857,0.35,660987.1666666667,674785.5,686313.0,686313.0,3.6901287507789093,1.6796272254787525
1,16,4,small,medium,ours,false,10.63,17.475803417,3,19,0.8824999999999998,0.9826666666666667,660987.1666666666,674785.5,686313.0,686313.0,3.6901287507789315,1.6796272254787525
