seed,n_customers,ngroute_neighborhood_size,ngroute_neighborhood_depots_size,ngroute_neighborhood_charging_size,method,ngroute_alt,time_taken_first,time_taken_total,time_taken_total_SR3,n_iterations,n_CG_iterations,sp_time_taken_mean_first,sp_time_taken_mean_last,sp_time_taken_mean_last_SR3,LP_objective_first,LP_objective_last,LP_objective_last_SR3,IP_objective_first,IP_objective_last,IP_objective_last_SR3,LP_IP_gap_first,LP_IP_gap_last,LP_IP_gap_last_SR3
6,16,4,small,medium,ours,false,2.347,2.945,4.725,5,22,0.17653846153846153,0.19766666666666666,0.309,704872.0,705972.0,712344.0,712344.0,712344.0,712344.0,1.0489314151589713,0.894511640443385,0.0
7,16,4,small,medium,ours,true,0.344,0.407,0.596,3,14,0.02927272727272727,0.03,0.187,694606.6666666667,694920.0,695530.0,695530.0,695530.0,695530.0,0.13275248132118556,0.08770290282230642,0.0
7,16,4,small,medium,ours,false,1.07,1.492,1.593,4,16,0.10479999999999999,0.065,0.099,694606.6666666667,694920.0,695530.0,695530.0,695530.0,695530.0,0.13275248132118556,0.08770290282230642,0.0
8,16,4,small,medium,ours,true,1.429,1.429,1.429,1,12,0.11458333333333337,0.11458333333333337,0.11458333333333337,678792.0,678792.0,678792.0,678792.0,678792.0,678792.0,0.0,0.0,0.0
8,16,4,small,medium,ours,false,4.323,4.323,4.323,1,12,0.35725000000000007,0.35725000000000007,0.35725000000000007,678792.0,678792.0,678792.0,678792.0,678792.0,678792.0,0.0,0.0,0.0
9,16,4,small,medium,ours,true,0.353,0.353,0.353,1,9,0.036222222222222225,0.036222222222222225,0.036222222222222225,660230.0,660230.0,660230.0,660230.0,660230.0,660230.0,0.0,0.0,0.0
9,16,4,small,medium,ours,false,1.312,1.312,1.312,1,10,0.1263,0.1263,0.1263,660230.0,660230.0,660230.0,660230.0,660230.0,660230.0,0.0,0.0,0.0
10,16,4,small,medium,ours,true,4.94,4.94,4.94,1,10,0.4895,0.4895,0.4895,712946.0,712946.0,712946.0,713300.0,713300.0,713300.0,0.04962848731249192,0.04962848731249192,0.0004962848731249192
10,16,4,small,medium,ours,false,22.85,22.85,22.85,1,13,1.7536153846153846,1.7536153846153846,1.7536153846153846,712946.0,712946.0,712946.0,713300.0,713300.0,713300.0,0.04962848731249192,0.04962848731249192,0.0004962848731249192
11,16,4,small,medium,ours,true,1.549,1.549,1.549,1,17,0.08705882352941177,0.08705882352941177,0.08705882352941177,647118.0,647118.0,647118.0,647118.0,647118.0,647118.0,0.0,0.0,0.0
11,16,4,small,medium,ours,false,4.862,4.862,4.862,1,17,0.2828823529411765,0.2828823529411765,0.2828823529411765,647118.0,647118.0,647118.0,647118.0,647118.0,647118.0,0.0,0.0,0.0
12,16,4,small,medium,ours,true,0.667,0.667,0.667,1,11,0.05854545454545455,0.05854545454545455,0.05854545454545455,580077.0,580077.0,580077.0,580077.0,580077.0,580077.0,0.0,0.0,0.0
12,16,4,small,medium,ours,false,2.299,2.299,2.299,1,11,0.2063636363636364,0.2063636363636364,0.2063636363636364,580077.0,580077.0,580077.0,580077.0,580077.0,580077.0,0.0,0.0,0.0
13,16,4,small,medium,ours,true,0.47,0.47,0.76,2,11,0.0442,0.0442,0.288,756618.0,756618.0,761288.0,761288.0,761288.0,761288.0,0.6134340748836231,0.6134340748836231,0.0
13,16,4,small,medium,ours,false,1.222,1.222,1.941,4,16,0.11959999999999998,0.11959999999999998,0.1165,756618.0,756618.0,761288.0,761288.0,761288.0,761288.0,0.6134340748836231,0.6134340748836231,0.0
14,16,4,small,medium,ours,true,0.422,0.584,1.8689999999999998,4,15,0.04433333333333334,0.03900000000000001,0.5750000000000001,801308.0,802301.0,808150.0,808150.0,808150.0,808150.0,0.8466250077337145,0.7237517787539449,0.0
14,16,4,small,medium,ours,false,1.422,1.632,1.9949999999999999,3,14,0.14000000000000004,0.10350000000000001,0.1795,801308.0,802301.0,804605.0,808150.0,808150.0,808150.0,0.8466250077337145,0.7237517787539449,0.0043865619006372425
15,16,4,small,medium,ours,true,0.436,0.436,0.436,1,8,0.051750000000000004,0.051750000000000004,0.051750000000000004,748454.0,748454.0,748454.0,748454.0,748454.0,748454.0,0.0,0.0,0.0
15,16,4,small,medium,ours,false,1.366,1.366,1.366,1,8,0.168375,0.168375,0.168375,748454.0,748454.0,748454.0,748454.0,748454.0,748454.0,0.0,0.0,0.0
16,16,4,small,medium,ours,true,0.681,0.767,1.5799999999999998,5,28,0.029090909090909087,0.026666666666666665,0.35,840765.0,840765.0,845704.0,955230.0,845704.0,845704.0,11.982977921547688,0.5840104812085523,0.0
16,16,4,small,medium,ours,false,2.119,2.536,3.652,5,30,0.1096842105263158,0.09724999999999999,0.195,840765.0,840765.0,844934.0,955230.0,844934.0,844934.0,11.982977921547688,0.4934113197007095,0.0
17,16,4,small,medium,ours,true,0.331,0.331,0.5720000000000001,2,10,0.034,0.034,0.23900000000000002,799980.0,799980.0,801710.0,801710.0,801710.0,801710.0,0.21578875154357746,0.21578875154357746,0.0
17,16,4,small,medium,ours,false,1.233,1.5350000000000001,1.7890000000000001,3,14,0.13455555555555557,0.09866666666666668,0.126,789933.3333333334,799980.0,801710.0,801710.0,801710.0,801710.0,1.4689434666733114,0.21578875154357746,0.0
18,16,4,small,medium,ours,true,0.574,0.574,2.9539999999999997,4,15,0.047181818181818186,0.047181818181818186,0.516,663967.0,663967.0,676467.0,678737.0,678737.0,678737.0,2.176100610398435,2.176100610398435,0.0033444471127992426
18,16,4,small,medium,ours,false,2.63,2.63,6.406,6,26,0.2360909090909091,0.2360909090909091,0.29966666666666664,663967.0,663967.0,675153.5,677437.0,677437.0,677437.0,1.9883767789477091,1.9883767789477091,0.0033707931512451106
19,16,4,small,medium,ours,true,0.76,0.76,0.76,1,12,0.06091666666666667,0.06091666666666667,0.06091666666666667,692192.0,692192.0,692192.0,692192.0,692192.0,692192.0,0.0,0.0,0.0
19,16,4,small,medium,ours,false,2.595,2.595,2.595,1,13,0.1971538461538462,0.1971538461538462,0.1971538461538462,692192.0,692192.0,692192.0,692192.0,692192.0,692192.0,0.0,0.0,0.0
20,16,4,small,medium,ours,true,0.521,0.626,0.626,2,17,0.03500000000000001,0.026000000000000002,0.026000000000000002,635136.0,636720.0,636720.0,636720.0,636720.0,636720.0,0.24877497173011465,0.0,0.0
20,16,4,small,medium,ours,false,1.904,2.3409999999999997,2.3409999999999997,2,18,0.13214285714285712,0.1075,0.1075,635136.0,636720.0,636720.0,636720.0,636720.0,636720.0,0.24877497173011465,0.0,0.0
1,16,4,small,medium,benchmark,true,1.577,2.7,2.8930000000000002,4,24,0.10628571428571429,0.10733333333333334,0.19,660987.1666666667,674785.5,675981.5,686313.0,686313.0,686313.0,3.6901287507789093,1.6796272254787525,0.015053627135140912
