n_depots,n_customers,n_charging,n_vehicles,depot_pattern,customer_pattern,charging_pattern,shrinkage_depots,shrinkage_charging,T,seed,B,μ,travel_cost_coeff,charge_cost_coeff,load_scale,load_shape,load_tolerance,batch,permissiveness,use_load,use_time_windows,method,subpath_single_service,subpath_check_customers,path_single_service,path_check_customers,check_customers_accelerated,LP_objective,IP_objective,LP_IP_gap,counter,converged,time_taken,sp_base_time_taken_total,sp_full_time_taken_total,lp_relaxation_time_taken_total,sp_base_time_taken_mean,sp_full_time_taken_mean,lp_relaxation_time_taken_mean,lp_mean_subpath_length,lp_weighted_mean_subpath_length,lp_mean_path_length,lp_weighted_mean_path_length,lp_mean_ps_length,lp_weighted_mean_ps_length,ip_mean_subpath_length,ip_weighted_mean_subpath_length,ip_mean_path_length,ip_weighted_mean_path_length,ip_mean_ps_length,ip_weighted_mean_ps_length
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,14,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,ours,true,false,false,false,false,738730.8333333335,1.036057e6,0.4024824107111631,12,true,10.784,8.32,1.783,0.4590000000000001,0.6933333333333334,0.14858333333333332,0.038250000000000006,3.25,2.7349397590361453,7.2,4.0,2.7333333333333334,1.7291666666666667,2.7142857142857144,2.7142857142857144,4.0,4.0,1.75,1.75
4,20,6,8,circular,random_box,grid,1.0,0.7,40000,10,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,benchmark,false,false,true,true,true,768735.0,768735.0,0.0,10,true,53.73,0.0,53.324000000000005,0.26400000000000007,0.0,5.332400000000001,0.026400000000000007,2.5384615384615383,2.5384615384615383,3.5,3.5,1.625,1.625,2.5384615384615383,2.5384615384615383,3.5,3.5,1.625,1.625
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,14,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,ours,true,true,false,false,false,738730.8333333335,1.037467e6,0.404391089672941,11,true,35.662,30.647000000000002,3.7170000000000005,0.325,2.7860909090909094,0.33790909090909094,0.029545454545454545,3.25,2.7349397590361453,7.2,4.0,2.7333333333333334,1.7291666666666667,2.6,2.6,4.0,4.0,1.875,1.875
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,14,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,ours,true,true,false,false,true,738730.8333333335,1.036057e6,0.4024824107111631,12,true,14.705,11.988,2.1289999999999996,0.3700000000000001,0.999,0.17741666666666664,0.03083333333333334,3.25,2.7349397590361453,7.2,4.0,2.7333333333333334,1.7291666666666667,2.7142857142857144,2.7142857142857144,4.0,4.0,1.75,1.75
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,14,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,ours,true,false,true,false,false,848270.0,848270.0,0.0,16,true,14.73,12.522999999999998,1.699,0.3540000000000001,0.7826874999999999,0.1061875,0.022125000000000006,3.1818181818181817,2.8461538461538463,5.0,4.0,1.8333333333333333,1.625,3.1818181818181817,2.8461538461538463,5.0,4.0,1.8333333333333333,1.625
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,14,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,ours,true,true,true,true,false,848270.0,848270.0,0.0,7,true,901.83,18.044,878.248,4.011,2.577714285714286,125.46400000000001,0.5730000000000001,3.25,2.8461538461538463,5.0,4.0,1.7777777777777777,1.625,3.1818181818181817,2.8461538461538463,5.0,4.0,1.8333333333333333,1.625
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,14,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,ours,true,true,true,true,true,848270.0,848270.0,0.0,17,true,94.739,19.268000000000004,74.99600000000001,0.30500000000000005,1.1334117647058826,4.411529411764707,0.017941176470588238,3.1818181818181817,2.8461538461538463,5.0,4.0,1.8333333333333333,1.625,3.1818181818181817,2.8461538461538463,5.0,4.0,1.8333333333333333,1.625
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,15,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,benchmark,false,false,false,false,false,649745.7405483405,1.123071e6,0.7284776642817323,11,true,21.307,0.0,18.015,1.098,0.0,1.6377272727272727,0.09981818181818182,4.258620689655173,2.9153787686850783,9.28,4.0,2.6,1.5662698412698408,2.6,2.6,4.0,4.0,1.875,1.875
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,15,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,benchmark,false,false,true,false,false,784940.0,784940.0,0.0,17,true,11.081,0.0,9.976,0.6020000000000002,0.0,0.5868235294117647,0.035411764705882365,3.0,2.8461538461538463,4.428571428571429,4.0,1.7142857142857142,1.625,3.0,2.8461538461538463,4.428571428571429,4.0,1.7142857142857142,1.625
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,15,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,benchmark,false,false,true,true,false,775651.6470588237,784940.0,0.011974902620778938,6,true,27986.734,0.0,27945.788,32.146,0.0,4657.631333333334,5.357666666666667,3.263157894736842,2.837837837837839,6.7894736842105265,4.000000000000001,2.3684210526315788,1.632352941176471,3.0,2.8461538461538463,4.428571428571429,4.0,1.7142857142857142,1.625
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,15,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,benchmark,false,false,true,true,true,784940.0,784940.0,0.0,18,true,2093.431,0.0,2092.415,0.689,0.0,116.24527777777777,0.03827777777777777,3.0,2.8461538461538463,4.428571428571429,4.0,1.7142857142857142,1.625,3.0,2.8461538461538463,4.428571428571429,4.0,1.7142857142857142,1.625
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,15,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,ours,false,false,false,false,false,697711.0000000001,912558.0,0.30793122080632207,16,true,16.478,11.997,3.601,0.6180000000000002,0.7498125,0.2250625,0.038625000000000013,3.511111111111111,2.75182481751825,8.875,4.000000000000001,3.125,1.7125000000000001,2.8461538461538463,2.8461538461538463,4.0,4.0,1.625,1.625
4,20,6,8,circular,random_box,grid,1.0,0.7,40000,10,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,ours,false,false,false,false,false,662970.5681818182,961300.0,0.44998895295811314,12,true,7.139,6.428000000000001,0.342,0.23800000000000004,0.5356666666666667,0.0285,0.019833333333333338,3.3636363636363638,2.5714285714285716,6.928571428571429,3.4999999999999996,2.5714285714285716,1.5909090909090908,2.6666666666666665,2.4285714285714284,3.857142857142857,3.5,1.8571428571428572,1.75
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,15,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,ours,true,false,false,false,false,698974.3333333336,954960.0,0.3662304242931185,14,true,18.89,15.484000000000002,2.577,0.5680000000000001,1.106,0.18407142857142858,0.04057142857142858,3.3636363636363638,2.724550898203592,8.23076923076923,3.9999999999999996,2.923076923076923,1.739583333333333,2.6,2.6,4.0,4.0,1.875,1.875
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,15,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,ours,true,true,false,false,false,698974.3333333335,934470.0,0.3369160431737357,17,true,139.196,127.963,9.234000000000002,0.5460000000000002,7.527235294117647,0.5431764705882354,0.032117647058823535,3.3636363636363638,2.7245508982035926,8.23076923076923,4.0,2.923076923076923,1.7395833333333335,2.7142857142857144,2.6,4.428571428571429,4.0,2.0,1.875
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,15,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,ours,true,true,false,false,true,698974.3333333336,954960.0,0.3662304242931185,14,true,30.143,26.407000000000004,3.06,0.43000000000000016,1.886214285714286,0.21857142857142858,0.030714285714285725,3.3636363636363638,2.724550898203592,8.23076923076923,3.9999999999999996,2.923076923076923,1.739583333333333,2.6,2.6,4.0,4.0,1.875,1.875
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,15,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,ours,true,false,true,false,false,786860.0,786860.0,0.0,24,true,30.521,26.147000000000002,3.378,0.6840000000000002,1.0894583333333334,0.14075000000000001,0.028500000000000008,3.0,2.8461538461538463,4.428571428571429,4.0,1.7142857142857142,1.625,3.0,2.8461538461538463,4.428571428571429,4.0,1.7142857142857142,1.625
